"","camera","metric","est","lower95","upper95"
"1","inview","npv",0.946236559139785,0.928046825295839,0.965847953216374
"2","inview","ppv",0.223684210526316,0.136793327154773,0.254978354978355
"3","inview","sens",0.53125,0.333926585094549,0.604608294930876
"4","inview","spec",0.81733746130031,0.783520334650244,0.855731949032562
"5","peek","npv",0.910404624277457,0.894220240307197,0.940078481459385
"6","peek","ppv",0.111111111111111,0,0.350909090909091
"7","peek","sens",0.03125,0,0.12130081300813
"8","peek","spec",0.975232198142415,0.960607586438402,0.987129444814075
"9","pictor","npv",0.973684210526316,0.9618830472103,0.988565576937939
"10","pictor","ppv",0.204724409448819,0.135569852941177,0.236863249236702
"11","pictor","sens",0.8125,0.672525027808676,0.899419279907085
"12","pictor","spec",0.687306501547988,0.644102988434968,0.742569870483981
